Freq.	V(vout)
1.00000000000000e+01	(-6.78680843621810e+01dB,1.78882347350248e+02°)
1.02329299228075e+01	(-6.74679966749335e+01dB,1.78856316685924e+02°)
1.04712854805090e+01	(-6.70679048565955e+01dB,1.78829678215306e+02°)
1.07151930523761e+01	(-6.66678087126179e+01dB,1.78802417713432e+02°)
1.09647819614319e+01	(-6.62677080392967e+01dB,1.78774520618311e+02°)
1.12201845430196e+01	(-6.58676026233428e+01dB,1.78745972022687e+02°)
1.14815362149688e+01	(-6.54674922414318e+01dB,1.78716756665576e+02°)
1.17489755493953e+01	(-6.50673766597324e+01dB,1.78686858923590e+02°)
1.20226443461741e+01	(-6.46672556334133e+01dB,1.78656262802007e+02°)
1.23026877081238e+01	(-6.42671289061267e+01dB,1.78624951925616e+02°)
1.25892541179417e+01	(-6.38669962094675e+01dB,1.78592909529302e+02°)
1.28824955169313e+01	(-6.34668572624074e+01dB,1.78560118448373e+02°)
1.31825673855641e+01	(-6.30667117707028e+01dB,1.78526561108622e+02°)
1.34896288259165e+01	(-6.26665594262745e+01dB,1.78492219516109e+02°)
1.38038426460288e+01	(-6.22663999065588e+01dB,1.78457075246658e+02°)
1.41253754462275e+01	(-6.18662328738282e+01dB,1.78421109435054e+02°)
1.44543977074593e+01	(-6.14660579744808e+01dB,1.78384302763935e+02°)
1.47910838816821e+01	(-6.10658748382957e+01dB,1.78346635452364e+02°)
1.51356124843621e+01	(-6.06656830776545e+01dB,1.78308087244070e+02°)
1.54881661891248e+01	(-6.02654822867264e+01dB,1.78268637395346e+02°)
1.58489319246111e+01	(-5.98652720406149e+01dB,1.78228264662589e+02°)
1.62181009735893e+01	(-5.94650518944656e+01dB,1.78186947289477e+02°)
1.65958690743756e+01	(-5.90648213825315e+01dB,1.78144662993749e+02°)
1.69824365246174e+01	(-5.86645800171959e+01dB,1.78101388953601e+02°)
1.73780082874937e+01	(-5.82643272879495e+01dB,1.78057101793655e+02°)
1.77827941003892e+01	(-5.78640626603196e+01dB,1.78011777570503e+02°)
1.81970085860998e+01	(-5.74637855747506e+01dB,1.77965391757800e+02°)
1.86208713666287e+01	(-5.70634954454320e+01dB,1.77917919230888e+02°)
1.90546071796325e+01	(-5.66631916590720e+01dB,1.77869334250931e+02°)
1.94984459975804e+01	(-5.62628735736152e+01dB,1.77819610448547e+02°)
1.99526231496888e+01	(-5.58625405169004e+01dB,1.77768720806906e+02°)
2.04173794466953e+01	(-5.54621917852566e+01dB,1.77716637644275e+02°)
2.08929613085404e+01	(-5.50618266420344e+01dB,1.77663332595986e+02°)
2.13796208950223e+01	(-5.46614443160698e+01dB,1.77608776595802e+02°)
2.18776162394955e+01	(-5.42610440000773e+01dB,1.77552939856653e+02°)
2.23872113856834e+01	(-5.38606248489692e+01dB,1.77495791850705e+02°)
2.29086765276777e+01	(-5.34601859780975e+01dB,1.77437301288751e+02°)
2.34422881531992e+01	(-5.30597264614162e+01dB,1.77377436098874e+02°)
2.39883291901949e+01	(-5.26592453295583e+01dB,1.77316163404347e+02°)
2.45470891568503e+01	(-5.22587415678261e+01dB,1.77253449500749e+02°)
2.51188643150958e+01	(-5.18582141140890e+01dB,1.77189259832248e+02°)
2.57039578276886e+01	(-5.14576618565864e+01dB,1.77123558967005e+02°)
2.63026799189538e+01	(-5.10570836316300e+01dB,1.77056310571668e+02°)
2.69153480392691e+01	(-5.06564782212026e+01dB,1.76987477384897e+02°)
2.75422870333816e+01	(-5.02558443504478e+01dB,1.76917021189887e+02°)
2.81838293126445e+01	(-4.98551806850466e+01dB,1.76844902785814e+02°)
2.88403150312660e+01	(-4.94544858284756e+01dB,1.76771081958174e+02°)
2.95120922666638e+01	(-4.90537583191423e+01dB,1.76695517447932e+02°)
3.01995172040201e+01	(-4.86529966273915e+01dB,1.76618166919434e+02°)
3.09029543251359e+01	(-4.82521991523786e+01dB,1.76538986927015e+02°)
3.16227766016838e+01	(-4.78513642188025e+01dB,1.76457932880215e+02°)
3.23593656929628e+01	(-4.74504900734943e+01dB,1.76374959007549e+02°)
3.31131121482591e+01	(-4.70495748818547e+01dB,1.76290018318733e+02°)
3.38844156139202e+01	(-4.66486167241333e+01dB,1.76203062565286e+02°)
3.46736850452531e+01	(-4.62476135915453e+01dB,1.76114042199420e+02°)
3.54813389233575e+01	(-4.58465633822181e+01dB,1.76022906331111e+02°)
3.63078054770101e+01	(-4.54454638969596e+01dB,1.75929602683246e+02°)
3.71535229097172e+01	(-4.50443128348451e+01dB,1.75834077544745e+02°)
3.80189396320561e+01	(-4.46431077886111e+01dB,1.75736275721528e+02°)
3.89045144994280e+01	(-4.42418462398529e+01dB,1.75636140485192e+02°)
3.98107170553497e+01	(-4.38405255540154e+01dB,1.75533613519285e+02°)
4.07380277804112e+01	(-4.34391429751722e+01dB,1.75428634863003e+02°)
4.16869383470335e+01	(-4.30376956205828e+01dB,1.75321142852174e+02°)
4.26579518801592e+01	(-4.26361804750227e+01dB,1.75211074057344e+02°)
4.36515832240165e+01	(-4.22345943848764e+01dB,1.75098363218802e+02°)
4.46683592150962e+01	(-4.18329340519866e+01dB,1.74982943178343e+02°)
4.57088189614874e+01	(-4.14311960272512e+01dB,1.74864744807562e+02°)
4.67735141287197e+01	(-4.10293767039605e+01dB,1.74743696932461e+02°)
4.78630092322638e+01	(-4.06274723108659e+01dB,1.74619726254135e+02°)
4.89778819368445e+01	(-4.02254789049736e+01dB,1.74492757265281e+02°)
5.01187233627271e+01	(-3.98233923640548e+01dB,1.74362712162256e+02°)
5.12861383991364e+01	(-3.94212083788643e+01dB,1.74229510752403e+02°)
5.24807460249772e+01	(-3.90189224450626e+01dB,1.74093070356318e+02°)
5.37031796370252e+01	(-3.86165298548325e+01dB,1.73953305704736e+02°)
5.49540873857623e+01	(-3.82140256881850e+01dB,1.73810128829668e+02°)
5.62341325190348e+01	(-3.78114048039492e+01dB,1.73663448949409e+02°)
5.75439937337156e+01	(-3.74086618304404e+01dB,1.73513172346993e+02°)
5.88843655355588e+01	(-3.70057911558037e+01dB,1.73359202241664e+02°)
6.02559586074357e+01	(-3.66027869180285e+01dB,1.73201438652866e+02°)
6.16595001861481e+01	(-3.61996429946341e+01dB,1.73039778256255e+02°)
6.30957344480192e+01	(-3.57963529920250e+01dB,1.72874114231169e+02°)
6.45654229034654e+01	(-3.53929102345182e+01dB,1.72704336098959e+02°)
6.60693448007595e+01	(-3.49893077530455e+01dB,1.72530329551556e+02°)
6.76082975391980e+01	(-3.45855382735380e+01dB,1.72351976269562e+02°)
6.91830970918935e+01	(-3.41815942050004e+01dB,1.72169153729150e+02°)
7.07945784384136e+01	(-3.37774676272883e+01dB,1.71981734996954e+02°)
7.24435960074988e+01	(-3.33731502786031e+01dB,1.71789588512101e+02°)
7.41310241300916e+01	(-3.29686335427263e+01dB,1.71592577854454e+02°)
7.58577575029182e+01	(-3.25639084360155e+01dB,1.71390561498084e+02°)
7.76247116628690e+01	(-3.21589655941960e+01dB,1.71183392548874e+02°)
7.94328234724279e+01	(-3.17537952589823e+01dB,1.70970918465120e+02°)
8.12830516164097e+01	(-3.13483872645755e+01dB,1.70752980759874e+02°)
8.31763771102669e+01	(-3.09427310240891e+01dB,1.70529414683683e+02°)
8.51138038202374e+01	(-3.05368155159667e+01dB,1.70300048886284e+02°)
8.70963589956078e+01	(-3.01306292704639e+01dB,1.70064705055689e+02°)
8.91250938133743e+01	(-2.97241603562829e+01dB,1.69823197532978e+02°)
9.12010839355907e+01	(-2.93173963674598e+01dB,1.69575332900994e+02°)
9.33254300796988e+01	(-2.89103244106221e+01dB,1.69320909544970e+02°)
9.54992586021433e+01	(-2.85029310927540e+01dB,1.69059717182999e+02°)
9.77237220955808e+01	(-2.80952025096273e+01dB,1.68791536364060e+02°)
9.99999999999997e+01	(-2.76871242350798e+01dB,1.68516137931169e+02°)
1.02329299228075e+02	(-2.72786813113547e+01dB,1.68233282447002e+02°)
1.04712854805090e+02	(-2.68698582407414e+01dB,1.67942719579170e+02°)
1.07151930523760e+02	(-2.64606389787995e+01dB,1.67644187442073e+02°)
1.09647819614318e+02	(-2.60510069294870e+01dB,1.67337411892069e+02°)
1.12201845430196e+02	(-2.56409449425618e+01dB,1.67022105772398e+02°)
1.14815362149688e+02	(-2.52304353136812e+01dB,1.66697968104098e+02°)
1.17489755493953e+02	(-2.48194597876844e+01dB,1.66364683218818e+02°)
1.20226443461741e+02	(-2.44079995656156e+01dB,1.66021919829179e+02°)
1.23026877081238e+02	(-2.39960353161261e+01dB,1.65669330032010e+02°)
1.25892541179416e+02	(-2.35835471919846e+01dB,1.65306548239478e+02°)
1.28824955169313e+02	(-2.31705148525331e+01dB,1.64933190032794e+02°)
1.31825673855640e+02	(-2.27569174930442e+01dB,1.64548850932839e+02°)
1.34896288259165e+02	(-2.23427338820731e+01dB,1.64153105081728e+02°)
1.38038426460288e+02	(-2.19279424080574e+01dB,1.63745503828969e+02°)
1.41253754462275e+02	(-2.15125211365920e+01dB,1.63325574215575e+02°)
1.44543977074592e+02	(-2.10964478800166e+01dB,1.62892817349140e+02°)
1.47910838816820e+02	(-2.06797002811806e+01dB,1.62446706662651e+02°)
1.51356124843620e+02	(-2.02622559135203e+01dB,1.61986686049552e+02°)
1.54881661891248e+02	(-1.98440923998840e+01dB,1.61512167867432e+02°)
1.58489319246111e+02	(-1.94251875528847e+01dB,1.61022530802632e+02°)
1.62181009735892e+02	(-1.90055195399525e+01dB,1.60517117588148e+02°)
1.65958690743755e+02	(-1.85850670767045e+01dB,1.59995232567439e+02°)
1.69824365246174e+02	(-1.81638096527511e+01dB,1.59456139097186e+02°)
1.73780082874937e+02	(-1.77417277946335e+01dB,1.58899056782856e+02°)
1.77827941003892e+02	(-1.73188033712261e+01dB,1.58323158541969e+02°)
1.81970085860998e+02	(-1.68950199476681e+01dB,1.57727567491623e+02°)
1.86208713666286e+02	(-1.64703631947000e+01dB,1.57111353658981e+02°)
1.90546071796324e+02	(-1.60448213611918e+01dB,1.56473530516352e+02°)
1.94984459975804e+02	(-1.56183858186608e+01dB,1.55813051346361e+02°)
1.99526231496887e+02	(-1.51910516876961e+01dB,1.55128805447711e+02°)
2.04173794466952e+02	(-1.47628185574290e+01dB,1.54419614198444e+02°)
2.08929613085403e+02	(-1.43336913105209e+01dB,1.53684227001807e+02°)
2.13796208950222e+02	(-1.39036810675620e+01dB,1.52921317150102e+02°)
2.18776162394954e+02	(-1.34728062662765e+01dB,1.52129477654797e+02°)
2.23872113856833e+02	(-1.30410938924758e+01dB,1.51307217107175e+02°)
2.29086765276776e+02	(-1.26085808812446e+01dB,1.50452955653542e+02°)
2.34422881531991e+02	(-1.21753157083160e+01dB,1.49565021193205e+02°)
2.39883291901948e+02	(-1.17413601928821e+01dB,1.48641645936813e+02°)
2.45470891568502e+02	(-1.13067915340675e+01dB,1.47680963498157e+02°)
2.51188643150957e+02	(-1.08717046037539e+01dB,1.46681006734950e+02°)
2.57039578276885e+02	(-1.04362145181458e+01dB,1.45639706604355e+02°)
2.63026799189537e+02	(-1.00004595090607e+01dB,1.44554892357908e+02°)
2.69153480392690e+02	(-9.56460411298617e+00dB,1.43424293468464e+02°)
2.75422870333816e+02	(-9.12884269092487e+00dB,1.42245543759040e+02°)
2.81838293126444e+02	(-8.69340328427619e+00dB,1.41016188289400e+02°)
2.88403150312659e+02	(-8.25855180067455e+00dB,1.39733693649286e+02°)
2.95120922666637e+02	(-7.82459650788273e+00dB,1.38395462404270e+02°)
3.01995172040200e+02	(-7.39189279248306e+00dB,1.36998852536120e+02°)
3.09029543251358e+02	(-6.96084811212457e+00dB,1.35541202806213e+02°)
3.16227766016837e+02	(-6.53192703443101e+00dB,1.34019865036485e+02°)
3.23593656929627e+02	(-6.10565621153206e+00dB,1.32432244331465e+02°)
3.31131121482590e+02	(-5.68262908620113e+00dB,1.30775848236261e+02°)
3.38844156139201e+02	(-5.26351006424375e+00dB,1.29048345712573e+02°)
3.46736850452530e+02	(-4.84903781984079e+00dB,1.27247636586775e+02°)
3.54813389233574e+02	(-4.44002732959345e+00dB,1.25371931746868e+02°)
3.63078054770100e+02	(-4.03737016302995e+00dB,1.23419843804976e+02°)
3.71535229097171e+02	(-3.64203250120727e+00dB,1.21390487172115e+02°)
3.80189396320559e+02	(-3.25505032279924e+00dB,1.19283585500320e+02°)
3.89045144994279e+02	(-2.87752120358176e+00dB,1.17099583248693e+02°)
3.98107170553495e+02	(-2.51059223711589e+00dB,1.14839756778419e+02°)
4.07380277804111e+02	(-2.15544371780496e+00dB,1.12506318982669e+02°)
4.16869383470333e+02	(-1.81326844448345e+00dB,1.10102510173590e+02°)
4.26579518801591e+02	(-1.48524680686050e+00dB,1.07632666998333e+02°)
4.36515832240164e+02	(-1.17251819856257e+00dB,1.05102260792647e+02°)
4.46683592150961e+02	(-8.76149731724441e-01dB,1.02517897254888e+02°)
4.57088189614873e+02	(-5.97103662630468e-01dB,9.98872708273971e+01°)
4.67735141287196e+02	(-3.36205313458542e-01dB,9.72190697741771e+01°)
4.78630092322636e+02	(-9.41135219804437e-02dB,9.45228315295125e+01°)
4.89778819368444e+02	(1.28704294443067e-01dB,9.18087521365602e+01°)
5.01187233627270e+02	(3.31990553462143e-01dB,8.90874579812675e+01°)
5.12861383991362e+02	(5.15707911912198e-01dB,8.63697519236869e+01°)
5.24807460249770e+02	(6.80040789272401e-01dB,8.36663487127405e+01°)
5.37031796370250e+02	(8.25387881256129e-01dB,8.09876157671112e+01°)
5.49540873857622e+02	(9.52346293992327e-01dB,7.83433348034859e+01°)
5.62341325190346e+02	(1.06168859944070e+00dB,7.57424975002512e+01°)
5.75439937337154e+02	(1.15433460451939e+00dB,7.31931447964265e+01°)
5.88843655355586e+02	(1.23131988731391e+00dB,7.07022551307108e+01°)
6.02559586074355e+02	(1.29376317460657e+00dB,6.82756825680971e+01°)
6.16595001861479e+02	(1.34283444636843e+00dB,6.59181419080957e+01°)
6.30957344480190e+02	(1.37972531271662e+00dB,6.36332349135894e+01°)
6.45654229034652e+02	(1.40562278653390e+00dB,6.14235099264508e+01°)
6.60693448007592e+02	(1.42168713654022e+00dB,5.92905463328497e+01°)
6.76082975391978e+02	(1.42903410347118e+00dB,5.72350554498623e+01°)
6.91830970918933e+02	(1.42872143002191e+00dB,5.52569901874833e+01°)
7.07945784384134e+02	(1.42173940881038e+00dB,5.33556570385749e+01°)
7.24435960074986e+02	(1.40900499221752e+00dB,5.15298253308276e+01°)
7.41310241300914e+02	(1.39135892376906e+00dB,4.97778300568149e+01°)
7.58577575029180e+02	(1.36956532751289e+00dB,4.80976658564340e+01°)
7.76247116628688e+02	(1.34431321285834e+00dB,4.64870707903978e+01°)
7.94328234724277e+02	(1.31621940195301e+00dB,4.49435993875207e+01°)
8.12830516164095e+02	(1.28583245182462e+00dB,4.34646850765899e+01°)
8.31763771102666e+02	(1.25363721427945e+00dB,4.20476925486661e+01°)
8.51138038202372e+02	(1.22005974600791e+00dB,4.06899608698740e+01°)
8.70963589956076e+02	(1.18547234517655e+00dB,3.93888383125287e+01°)
8.91250938133741e+02	(1.15019854667621e+00dB,3.81417099261779e+01°)
9.12010839355905e+02	(1.11451795529669e+00dB,3.69460188578209e+01°)
9.33254300796986e+02	(1.07867083452659e+00dB,3.57992823749881e+01°)
9.54992586021431e+02	(1.04286239912436e+00dB,3.46991034641613e+01°)
9.77237220955805e+02	(1.00726678306509e+00dB,3.36431787831511e+01°)
9.99999999999994e+02	(9.72030672025443e-01dB,3.26293036486713e+01°)
1.02329299228075e+03	(9.37276602294521e-01dB,3.16553746454991e+01°)
1.04712854805089e+03	(9.03105936868073e-01dB,3.07193903550214e+01°)
1.07151930523760e+03	(8.69601535345944e-01dB,2.98194506206981e+01°)
1.09647819614318e+03	(8.36830137825656e-01dB,2.89537546968514e+01°)
1.12201845430196e+03	(8.04844484851586e-01dB,2.81205985653202e+01°)
