Freq.	V(vout)
1.00000000000000e+00	(9.54173123607012e+00dB,-2.20760354276473e-01°)
1.02329299228075e+00	(9.54172824488448e+00dB,-2.25902481606409e-01°)
1.04712854805090e+00	(9.54172511273026e+00dB,-2.31164381472057e-01°)
1.07151930523761e+00	(9.54172183296401e+00dB,-2.36548843519864e-01°)
1.09647819614318e+00	(9.54171839862912e+00dB,-2.42058722360162e-01°)
1.12201845430196e+00	(9.54171480244122e+00dB,-2.47696939079280e-01°)
1.14815362149688e+00	(9.54171103677260e+00dB,-2.53466482786791e-01°)
1.17489755493953e+00	(9.54170709363613e+00dB,-2.59370412198716e-01°)
1.20226443461741e+00	(9.54170296466827e+00dB,-2.65411857257525e-01°)
1.23026877081238e+00	(9.54169864111130e+00dB,-2.71594020789764e-01°)
1.25892541179417e+00	(9.54169411379487e+00dB,-2.77920180202194e-01°)
1.28824955169313e+00	(9.54168937311639e+00dB,-2.84393689217332e-01°)
1.31825673855641e+00	(9.54168440902080e+00dB,-2.91017979649298e-01°)
1.34896288259165e+00	(9.54167921097919e+00dB,-2.97796563220889e-01°)
1.38038426460288e+00	(9.54167376796645e+00dB,-3.04733033422857e-01°)
1.41253754462275e+00	(9.54166806843793e+00dB,-3.11831067416344e-01°)
1.44543977074593e+00	(9.54166210030496e+00dB,-3.19094427979465e-01°)
1.47910838816821e+00	(9.54165585090917e+00dB,-3.26526965499079e-01°)
1.51356124843621e+00	(9.54164930699571e+00dB,-3.34132620008769e-01°)
1.54881661891248e+00	(9.54164245468507e+00dB,-3.41915423274096e-01°)
1.58489319246111e+00	(9.54163527944372e+00dB,-3.49879500926224e-01°)
1.62181009735893e+00	(9.54162776605325e+00dB,-3.58029074645022e-01°)
1.65958690743756e+00	(9.54161989857811e+00dB,-3.66368464392779e-01°)
1.69824365246174e+00	(9.54161166033179e+00dB,-3.74902090699697e-01°)
1.73780082874937e+00	(9.54160303384153e+00dB,-3.83634477002342e-01°)
1.77827941003892e+00	(9.54159400081115e+00dB,-3.92570252036289e-01°)
1.81970085860998e+00	(9.54158454208235e+00dB,-4.01714152284164e-01°)
1.86208713666287e+00	(9.54157463759405e+00dB,-4.11071024480395e-01°)
1.90546071796325e+00	(9.54156426633987e+00dB,-4.20645828173935e-01°)
1.94984459975804e+00	(9.54155340632354e+00dB,-4.30443638350304e-01°)
1.99526231496888e+00	(9.54154203451236e+00dB,-4.40469648114283e-01°)
2.04173794466953e+00	(9.54153012678831e+00dB,-4.50729171434670e-01°)
2.08929613085404e+00	(9.54151765789691e+00dB,-4.61227645952485e-01°)
2.13796208950223e+00	(9.54150460139368e+00dB,-4.71970635854090e-01°)
2.18776162394955e+00	(9.54149092958815e+00dB,-4.82963834810680e-01°)
2.23872113856834e+00	(9.54147661348505e+00dB,-4.94213068985676e-01°)
2.29086765276777e+00	(9.54146162272297e+00dB,-5.05724300111539e-01°)
2.34422881531992e+00	(9.54144592550984e+00dB,-5.17503628637583e-01°)
2.39883291901949e+00	(9.54142948855572e+00dB,-5.29557296950403e-01°)
2.45470891568503e+00	(9.54141227700209e+00dB,-5.41891692668547e-01°)
2.51188643150958e+00	(9.54139425434808e+00dB,-5.54513352013110e-01°)
2.57039578276886e+00	(9.54137538237299e+00dB,-5.67428963255963e-01°)
2.63026799189538e+00	(9.54135562105542e+00dB,-5.80645370247359e-01°)
